Precio,Provincia,Lugar,Num. dormitorios,Num. banos,Area,Num. garages,Tipo de Precio
750,Pichincha,quito,3.0,1.0,80.0,1.0,Lujo
517,Pichincha,quito,2.0,2.0,96.0,1.0,Medio
350,Pichincha,quito,3.0,2.0,51.0,0.0,Medio
550,Pichincha,quito,3.0,3.0,140.0,1.0,Medio
130,Pichincha,sangolqui,3.0,2.0,28.0,0.0,Económico
170,Pichincha,sangolqui,3.0,2.0,52.0,0.0,Medio
120,Pichincha,sangolqui,3.0,2.0,23.0,0.0,Económico
140,Pichincha,sangolqui,3.0,2.0,30.0,0.0,Económico
150,Pichincha,sangolqui,3.0,2.0,38.0,0.0,Medio
450,Pichincha,quito,1.0,1.0,45.0,1.0,Medio
550,Pichincha,quito,3.0,2.0,132.0,1.0,Medio
750,Pichincha,quito,3.0,2.0,135.0,0.0,Lujo
350,Pichincha,quito,3.0,2.0,120.0,0.0,Medio
700,Pichincha,quito,2.0,1.0,85.0,1.0,Lujo
280,Pichincha,quito,3.0,1.0,95.0,0.0,Económico
500,Pichincha,quito,2.0,2.0,90.0,2.0,Medio
450,Pichincha,quito,3.0,2.0,120.0,1.0,Medio
600,Pichincha,quito,3.0,3.0,140.0,2.0,Lujo
900,Pichincha,sangolqui,3.0,2.0,98.0,0.0,Lujo
690,Pichincha,sangolqui,3.0,2.0,88.0,0.0,Medio
675,Pichincha,sangolqui,3.0,2.0,86.0,0.0,Medio
450,Pichincha,quito,3.0,2.0,180.0,0.0,Medio
705,Pichincha,sangolqui,3.0,2.0,90.0,0.0,Medio
280,Pichincha,quito,2.0,1.0,70.0,0.0,Económico
900,Pichincha,quito,3.0,2.0,120.0,2.0,Lujo
550,Pichincha,quito,3.0,2.0,90.0,0.0,Medio
450,Pichincha,quito,3.0,2.0,150.0,2.0,Medio
350,Pichincha,quito,1.0,1.0,55.0,0.0,Medio
690,Pichincha,quito,3.0,1.0,120.0,1.0,Lujo
500,Pichincha,quito,2.0,1.0,70.0,0.0,Medio
370,Pichincha,quito,3.0,2.0,100.0,1.0,Medio
350,Pichincha,quito,3.0,1.0,100.0,0.0,Medio
415,Pichincha,quito,3.0,2.0,103.0,2.0,Medio
700,Pichincha,quito,3.0,2.0,94.0,0.0,Lujo
120,Pichincha,quito,1.0,1.0,15.0,0.0,Económico
470,Pichincha,quito,3.0,1.0,60.0,0.0,Medio
490,Pichincha,quito,3.0,2.0,70.0,0.0,Medio
550,Pichincha,quito,3.0,3.0,150.0,1.0,Medio
350,Pichincha,quito,3.0,1.0,90.0,0.0,Medio
750,Pichincha,quito,1.0,2.0,72.0,1.0,Lujo
200,Pichincha,quito,3.0,2.0,30.0,0.0,Económico
450,Pichincha,quito,3.0,3.0,130.0,1.0,Medio
350,Pichincha,quito,2.0,2.0,105.0,1.0,Medio
900,Pichincha,quito,3.0,2.0,142.0,2.0,Lujo
900,Pichincha,quito,3.0,2.0,142.0,2.0,Lujo
383,Pichincha,quito,2.0,3.0,115.0,1.0,Medio
480,Pichincha,quito,3.0,2.0,96.0,0.0,Medio
400,Pichincha,quito,2.0,2.0,100.0,1.0,Medio
480,Pichincha,quito,3.0,2.0,100.0,2.0,Medio
400,Guayas,guayaquil,2.0,1.0,68.0,0.0,Medio
350,Pichincha,quito,5.0,4.0,170.0,1.0,Medio
220,Pichincha,quito,3.0,2.0,100.0,1.0,Económico
280,Pichincha,quito,3.0,1.0,43.0,1.0,Económico
450,Pichincha,quito,1.0,1.0,68.0,0.0,Medio
380,Pichincha,quito,3.0,2.0,100.0,1.0,Medio
500,Pichincha,quito,3.0,3.0,140.0,2.0,Medio
380,Pichincha,quito,2.0,2.0,80.0,1.0,Medio
500,Pichincha,quito,2.0,2.0,100.0,1.0,Medio
1200,Pichincha,quito,2.0,3.0,130.0,2.0,Lujo
590,Pichincha,quito,3.0,1.0,175.0,0.0,Lujo
250,Pichincha,quito,3.0,2.0,80.0,0.0,Económico
650,Pichincha,quito,2.0,3.0,114.0,1.0,Lujo
600,Pichincha,quito,3.0,3.0,115.0,1.0,Lujo
280,Pichincha,quito,1.0,1.0,50.0,1.0,Económico
390,Pichincha,quito,3.0,1.0,30.0,0.0,Medio
170,Pichincha,quito,3.0,1.0,20.0,0.0,Económico
800,Pichincha,quito,3.0,2.0,80.0,3.0,Lujo
230,Pichincha,quito,3.0,2.0,100.0,1.0,Económico
350,Pichincha,quito,3.0,1.0,80.0,0.0,Medio
452,Pichincha,quito,3.0,2.0,100.0,0.0,Medio
218,Pichincha,quito,3.0,2.0,40.0,0.0,Económico
260,Pichincha,quito,3.0,2.0,21.0,0.0,Económico
350,Pichincha,quito,1.0,2.0,67.0,1.0,Medio
1000,Pichincha,quito,3.0,1.0,90.0,1.0,Lujo
210,Pichincha,quito,3.0,2.0,90.0,1.0,Económico
250,Guayas,guayaquil,1.0,1.0,100.0,0.0,Económico
900,Pichincha,quito,3.0,2.0,106.0,1.0,Lujo
390,Pichincha,quito,2.0,1.0,100.0,0.0,Medio
500,Pichincha,quito,3.0,3.0,120.0,2.0,Medio
550,Pichincha,quito,3.0,2.0,100.0,2.0,Medio
400,Pichincha,quito,3.0,3.0,100.0,1.0,Medio
500,Pichincha,quito,2.0,2.0,85.0,1.0,Medio
500,Pichincha,quito,1.0,2.0,75.0,1.0,Medio
380,Pichincha,quito,3.0,3.0,130.0,2.0,Medio
215,Pichincha,quito,3.0,1.0,90.0,0.0,Económico
450,Pichincha,quito,1.0,1.0,40.0,1.0,Medio
390,Pichincha,quito,3.0,2.0,50.0,0.0,Medio
550,Pichincha,quito,2.0,1.0,95.0,1.0,Medio
500,Pichincha,quito,3.0,2.0,115.0,1.0,Medio
300,Pichincha,quito,1.0,2.0,74.0,1.0,Económico
350,Pichincha,quito,2.0,2.0,90.0,1.0,Medio
230,Pichincha,quito,2.0,1.0,67.0,1.0,Económico
290,Pichincha,quito,3.0,3.0,145.0,0.0,Económico
210,Pichincha,quito,2.0,1.0,65.0,0.0,Económico
600,Guayas,guayaquil,3.0,1.0,50.0,1.0,Medio
720,Guayas,guayaquil,3.0,1.0,72.0,1.0,Lujo
420,Pichincha,quito,3.0,2.0,110.0,1.0,Medio
250,Pichincha,quito,2.0,1.0,62.0,1.0,Económico
900,Pichincha,quito,2.0,2.0,120.0,1.0,Lujo
500,Pichincha,quito,3.0,2.0,54.0,0.0,Medio
500,Pichincha,quito,3.0,2.0,30.0,0.0,Medio
325,Pichincha,quito,3.0,2.0,70.0,0.0,Económico
550,Pichincha,quito,3.0,2.0,120.0,0.0,Medio
450,Pichincha,quito,3.0,2.0,45.0,0.0,Medio
400,Pichincha,quito,3.0,1.0,25.0,0.0,Medio
1200,Pichincha,quito,3.0,3.0,145.0,2.0,Lujo
450,Pichincha,quito,3.0,2.0,100.0,0.0,Medio
650,Pichincha,quito,3.0,2.0,64.0,0.0,Lujo
1300,Pichincha,quito,3.0,2.0,164.0,2.0,Lujo
450,Pichincha,quito,3.0,2.0,100.0,0.0,Medio
280,Pichincha,quito,3.0,2.0,70.0,0.0,Económico
350,Pichincha,quito,3.0,2.0,66.0,0.0,Medio
500,Pichincha,quito,3.0,3.0,110.0,1.0,Medio
350,Pichincha,quito,3.0,3.0,130.0,1.0,Medio
470,Pichincha,quito,2.0,2.0,80.0,1.0,Medio
400,Pichincha,quito,3.0,3.0,100.0,0.0,Medio
380,Pichincha,quito,3.0,1.0,48.0,2.0,Medio
550,Pichincha,quito,4.0,4.0,175.0,2.0,Medio
380,Pichincha,quito,3.0,2.0,100.0,1.0,Medio
100,Pichincha,quito,2.0,1.0,60.0,0.0,Económico
650,Pichincha,quito,4.0,2.0,177.0,1.0,Lujo
230,Pichincha,quito,3.0,2.0,45.0,0.0,Económico
370,Pichincha,quito,3.0,2.0,110.0,1.0,Medio
430,Pichincha,quito,1.0,2.0,70.0,1.0,Medio
500,Pichincha,quito,3.0,3.0,120.0,2.0,Medio
350,Pichincha,quito,1.0,1.0,70.0,1.0,Medio
450,Pichincha,quito,3.0,3.0,140.0,2.0,Medio
380,Pichincha,quito,3.0,2.0,135.0,2.0,Medio
240,Pichincha,quito,2.0,1.0,100.0,1.0,Económico
450,Pichincha,quito,3.0,3.0,127.0,1.0,Medio
400,Guayas,guayaquil,3.0,3.0,105.0,2.0,Medio
450,Pichincha,quito,3.0,3.0,136.0,1.0,Medio
700,Pichincha,quito,3.0,2.0,80.0,0.0,Lujo
700,Pichincha,quito,3.0,1.0,100.0,0.0,Lujo
954,Guayas,guayaquil,3.0,2.0,212.0,1.0,Lujo
520,Pichincha,quito,1.0,2.0,70.0,1.0,Medio
450,Pichincha,quito,1.0,1.0,50.0,1.0,Medio
340,Pichincha,quito,2.0,2.0,85.0,1.0,Económico
430,Pichincha,quito,1.0,1.0,65.0,1.0,Medio
310,Pichincha,quito,3.0,1.0,90.0,1.0,Económico
450,Pichincha,quito,1.0,2.0,75.0,1.0,Medio
420,Pichincha,quito,3.0,2.0,110.0,1.0,Medio
400,Pichincha,quito,3.0,2.0,100.0,1.0,Medio
450,Pichincha,quito,3.0,3.0,125.0,1.0,Medio
570,Pichincha,quito,1.0,2.0,75.0,1.0,Medio
400,Pichincha,quito,3.0,3.0,95.0,1.0,Medio
500,Pichincha,quito,1.0,2.0,75.0,1.0,Medio
508,Esmeraldas,tonsupa,3.0,3.0,140.0,1.0,Medio
350,Pichincha,quito,3.0,3.0,110.0,1.0,Medio
245,Pichincha,quito,2.0,1.0,49.0,0.0,Económico
450,Pichincha,quito,2.0,2.0,90.0,1.0,Medio
420,Pichincha,quito,2.0,1.0,90.0,1.0,Medio
500,Pichincha,quito,3.0,3.0,196.0,3.0,Medio
280,Pichincha,quito,2.0,2.0,85.0,1.0,Económico
550,Pichincha,quito,2.0,2.0,100.0,2.0,Medio
350,Pichincha,quito,3.0,2.0,90.0,1.0,Medio
530,Pichincha,quito,2.0,2.0,90.0,1.0,Medio
500,Pichincha,quito,1.0,2.0,75.0,1.0,Medio
200,Guayas,guayaquil,1.0,1.0,24.0,0.0,Económico
850,Guayas,guayaquil,3.0,4.0,200.0,2.0,Lujo
750,Pichincha,quito,2.0,3.0,100.0,1.0,Lujo
500,Pichincha,quito,2.0,3.0,100.0,1.0,Medio
280,Pichincha,quito,3.0,1.0,64.0,0.0,Económico
400,Pichincha,quito,1.0,1.5,56.84,1.0,Medio
800,Pichincha,quito,3.0,1.0,60.0,0.0,Lujo
400,Pichincha,quito,1.0,2.0,97.0,1.0,Medio
350,Pichincha,quito,3.0,3.0,103.0,2.0,Medio
450,Pichincha,quito,3.0,3.0,130.0,1.0,Medio
500,Pichincha,quito,2.0,2.0,103.0,1.0,Medio
400,Pichincha,quito,2.0,2.0,85.0,1.0,Medio
750,Pichincha,quito,2.0,2.0,130.0,1.0,Lujo
1100,Pichincha,quito,3.0,2.0,170.0,3.0,Lujo
550,Pichincha,quito,2.0,2.0,95.0,1.0,Medio
650,Pichincha,quito,2.0,2.0,109.0,1.0,Lujo
650,Pichincha,quito,2.0,2.0,85.0,2.0,Lujo
600,Pichincha,quito,3.0,2.0,100.0,0.0,Lujo
550,Pichincha,quito,5.0,3.0,200.0,1.0,Medio
530,Pichincha,quito,1.0,1.0,60.0,1.0,Medio
400,Guayas,guayaquil,1.0,1.0,45.0,0.0,Medio
470,Pichincha,quito,1.0,1.0,62.0,1.0,Medio
475,Pichincha,quito,2.0,1.0,90.0,1.0,Medio
850,Pichincha,quito,3.0,3.0,110.0,1.0,Lujo
400,Pichincha,quito,3.0,1.0,50.0,0.0,Medio
850,Pichincha,quito,3.0,1.0,75.0,2.0,Lujo
480,Pichincha,quito,1.0,2.0,61.0,1.0,Medio
690,Pichincha,quito,3.0,2.0,60.0,1.0,Lujo
850,Pichincha,quito,3.0,4.0,130.0,1.0,Lujo
550,Pichincha,quito,2.0,2.0,69.0,1.0,Medio
300,Pichincha,quito,2.0,2.0,84.0,1.0,Económico
750,Pichincha,quito,4.0,2.0,96.0,2.0,Lujo
819,Pichincha,quito,2.0,3.0,100.0,0.0,Lujo
480,Pichincha,quito,3.0,3.0,150.0,1.0,Medio
600,Pichincha,quito,4.0,3.0,200.0,2.0,Lujo
850,Pichincha,quito,2.0,2.0,100.0,0.0,Lujo
500,Pichincha,quito,2.0,2.0,100.0,1.0,Medio
600,Pichincha,quito,3.0,2.0,105.0,1.0,Lujo
165,Guayas,guayaquil,1.0,1.0,32.0,0.0,Económico
300,Pichincha,quito,2.0,1.0,100.0,1.0,Económico
700,Pichincha,quito,2.0,2.5,100.0,2.0,Lujo
500,Pichincha,quito,1.0,1.5,60.0,1.0,Medio
700,Pichincha,quito,3.0,2.5,115.0,2.0,Lujo
550,Pichincha,quito,1.0,2.0,74.0,1.0,Medio
550,Pichincha,quito,1.0,2.0,70.0,2.0,Medio
500,Pichincha,quito,3.0,3.0,131.0,0.0,Medio
600,Pichincha,quito,1.0,1.0,57.0,1.0,Lujo
500,Pichincha,quito,3.0,3.0,150.0,2.0,Medio
850,Pichincha,quito,3.0,2.5,140.0,2.0,Lujo
800,Pichincha,quito,3.0,3.5,127.0,2.0,Lujo
550,Pichincha,quito,4.0,3.5,160.0,1.0,Medio
650,Pichincha,quito,2.0,2.5,100.0,1.0,Lujo
800,Guayas,guayaquil,1.0,1.0,80.0,1.0,Lujo
800,Guayas,guayaquil,1.0,1.0,85.0,1.0,Lujo
800,Pichincha,quito,3.0,4.0,138.0,2.0,Lujo
700,Pichincha,quito,5.0,1.0,180.0,1.0,Lujo
1200,Pichincha,quito,3.0,3.0,190.0,2.0,Lujo
740,Pichincha,quito,3.0,3.0,140.0,2.0,Lujo
780,Pichincha,quito,3.0,2.5,183.0,2.0,Lujo
